id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm1271704,Burning Patience,MOVIE,2022,PG-13,97,"['drama', 'romance']",['CL'],,tt15939090,5.9,247,15.422,6
tm954297,The Secret Diary of an Exchange Student,MOVIE,2021,,96,"['comedy', 'romance']",['BR'],,tt11594766,5.4,999,9.42,6.539
tm1041543,Breaking Boundaries: The Science of Our Planet,MOVIE,2021,,73,['documentation'],['US'],,tt14539726,7.8,2944,8.877,7.8
tm982887,The Minimalists: Less Is Now,MOVIE,2021,,53,['documentation'],['US'],,tt13583144,5.9,4546,7.963,6.3
tm858869,Stowaway,MOVIE,2021,PG-13,116,"['drama', 'thriller', 'scifi']","['US', 'DE']",,tt9203694,5.6,48050,19.422,5.8
tm1047416,Mission: Joy - Finding Happiness in Troubled Times,MOVIE,2022,,88,['documentation'],['US'],,tt14779306,8.1,280,4.767,3.3
tm1286923,Disconnect: The Wedding Planner,MOVIE,2022,,107,"['romance', 'comedy']","['NG', 'KE']",,tt24640474,4.1,175,22.202,5.9
tm963023,Chandigarh Kare Aashiqui,MOVIE,2021,,117,"['comedy', 'crime', 'drama', 'romance']",['IN'],,tt12861850,6.8,14476,3.106,6.3
tm1207097,Bill Burr Presents: Friends Who Kill,MOVIE,2022,PG-13,73,"['comedy', 'documentation']",[],,tt20723672,4.6,2544,5.452,5.2
tm1020851,Back to the Outback,MOVIE,2021,PG,95,"['animation', 'comedy', 'family']","['AU', 'US']",,tt13575806,6.5,9043,48.452,7.8
tm1037704,Resort to Love,MOVIE,2021,PG,101,"['comedy', 'romance']",['US'],,tt12929990,5.7,6267,19.533,7.289
tm1237317,Heartsong,MOVIE,2022,,95,"['comedy', 'drama', 'music', 'romance']",['TR'],,tt21339860,5.8,1639,6.823,6.6
ts189612,Country Queen,SHOW,2022,TV-MA,60,['drama'],['KE'],1,tt10062046,5.5,244,2.77,7.4
tm1184117,Ivy + Bean,MOVIE,2022,PG,58,"['comedy', 'family', 'action']",['US'],,tt13926132,6,284,7.302,6
tm1048678,Like A Rolling Stone: The Life & Times of Ben Fong-Torres,MOVIE,2021,,102,['documentation'],['US'],,tt9660510,7.3,384,4.04,10
tm1286701,Raangi,MOVIE,2022,,121,"['action', 'thriller']",['IN'],,,,,5.674,3.7
tm1050497,Ghodwa,MOVIE,2021,,96,['drama'],['TN'],,tt14190894,6.2,154,1.787,2
tm927037,The Water Man,MOVIE,2021,PG,92,"['action', 'thriller', 'drama', 'family', 'fantasy']",['US'],,tt4779326,5.5,4176,11.992,6.196
ts314963,The Fastest,SHOW,2021,TV-PG,35,['reality'],[],1,tt15779034,5.3,94,1.126,4.7
ts297058,The Snitch Cartel: Origins,SHOW,2021,TV-MA,47,"['crime', 'drama']",['CO'],1,tt14417802,5.9,204,121.903,7.9
tm1115800,Theo Von: Regular People,MOVIE,2021,,61,['comedy'],['US'],,tt15579188,5.2,1009,4.647,6.444
tm1029314,Have You Ever Seen Fireflies?,MOVIE,2021,,114,"['drama', 'comedy']",['TR'],,tt13317694,6.1,5223,4.106,6.6
ts287941,Racket Boys,SHOW,2021,TV-14,71,"['drama', 'sport', 'comedy']",['KR'],1,tt14482414,4.2,27737,8.102,8.1
ts365031,Take 1,SHOW,2022,TV-PG,55,"['documentation', 'music']",['KR'],1,tt22071828,7.4,58,2.238,4.75
tm1092075,Forever Rich,MOVIE,2021,R,89,"['comedy', 'drama', 'crime', 'music', 'thriller']",['NL'],,tt12748300,5.5,1346,13.227,6.6
tm1131382,Jim Gaffigan: Comedy Monster,MOVIE,2021,,70,['comedy'],[],,tt15907298,6.9,1861,3.168,6.429
ts308039,A Sinister Sect: Colonia Dignidad,SHOW,2021,,209,"['documentation', 'crime']",['DE'],1,tt15430012,7.1,828,3.102,6.1
ts241854,EDENS ZERO,SHOW,2021,TV-14,24,"['action', 'scifi']",['JP'],1,,,,18.559,7.9
tm867681,Haseen Dillruba,MOVIE,2021,,135,"['thriller', 'crime', 'drama', 'romance']",['IN'],,tt11027830,6.9,27891,6.479,6.4
ts346500,Wild Babies,SHOW,2022,TV-PG,30,['documentation'],['GB'],1,tt19398016,7.7,700,3.49,7.3
tm1219452,Cristela Alonzo: Middle Classy,MOVIE,2022,,60,"['comedy', 'documentation']",[],,tt18312376,6.9,414,3.107,6.3
tm999817,Green Snake,MOVIE,2021,,131,"['animation', 'fantasy', 'action']",['CN'],,tt15000314,6.8,2816,17.035,8.3
tm1137512,Off Track,MOVIE,2022,,109,"['comedy', 'drama']",['SE'],,tt13316790,6.1,2026,11.696,6.1
tm1143058,How I Fell in Love with a Gangster,MOVIE,2022,,179,"['crime', 'drama']",['PL'],,tt16453244,6,2578,18.691,6.7
ts319412,Forecasting Love and Weather,SHOW,2022,TV-14,68,"['drama', 'romance']",['KR'],1,tt15140592,7.1,2594,15.229,7.8
tm1198504,Ghost in the Shell: SAC_2045 Sustainable War,MOVIE,2021,R,118,"['action', 'scifi', 'animation']",['JP'],,tt15392166,5.9,377,5.473,7
tm1115392,Shyam Singha Roy,MOVIE,2021,,157,"['drama', 'romance', 'horror', 'thriller']",['IN'],,tt13349716,7.7,13780,4.482,6.5
tm1019885,F3: Fun and Frustration,MOVIE,2022,,148,"['comedy', 'family', 'romance']",['IN'],,tt13645322,4.7,2091,2.573,4.2
tm1137613,13: The Musical,MOVIE,2022,PG,91,"['drama', 'family', 'comedy']",['US'],,tt3975918,5.2,817,16.714,6.1
